INFO 2024-07-23 22:11:40,058 autoreload Watching for file changes with StatReloader
INFO 2024-07-23 22:11:50,386 autoreload D:\_programovani\mushroomatlas\messaging\views.py changed, reloading.
INFO 2024-07-23 22:11:51,832 autoreload Watching for file changes with StatReloader
INFO 2024-07-23 22:11:54,198 basehttp "GET /trash/?sender= HTTP/1.1" 200 10013
INFO 2024-07-23 22:12:00,625 basehttp "GET /trash/?sender= HTTP/1.1" 200 10013
INFO 2024-07-23 22:12:07,633 basehttp "GET /trash/?sender= HTTP/1.1" 200 10013
INFO 2024-07-23 22:14:22,901 basehttp "GET /trash/?sender= HTTP/1.1" 200 10013
INFO 2024-07-23 22:14:33,860 basehttp "GET /trash/?sender= HTTP/1.1" 200 10013
INFO 2024-07-23 22:16:24,888 basehttp "GET /trash/?sender= HTTP/1.1" 200 10059
INFO 2024-07-23 22:16:40,778 basehttp "GET /trash/?sender= HTTP/1.1" 200 10059
INFO 2024-07-23 22:19:33,198 basehttp "GET /trash/?sender= HTTP/1.1" 200 10059
INFO 2024-07-23 22:19:35,936 basehttp "GET /message/130/ HTTP/1.1" 200 8181
DEBUG 2024-07-23 22:19:36,922 views Current user: MushroomHunter, message receiver: ForestExplorer
WARNING 2024-07-23 22:19:36,923 log Forbidden: /mark_message_read/130/
WARNING 2024-07-23 22:19:36,924 basehttp "POST /mark_message_read/130/ HTTP/1.1" 403 43
INFO 2024-07-23 22:19:42,657 basehttp "GET /trash/ HTTP/1.1" 200 10059
DEBUG 2024-07-23 22:19:46,120 views handle_trash_actions called
DEBUG 2024-07-23 22:19:46,120 views Action received: delete
DEBUG 2024-07-23 22:19:46,121 views Message IDs received: ['130']
DEBUG 2024-07-23 22:19:46,121 views Deleting messages
DEBUG 2024-07-23 22:19:46,157 views Marking message 130 as deleted by sender
DEBUG 2024-07-23 22:19:46,176 views Saving message 130 state changes
INFO 2024-07-23 22:19:46,198 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:19:46,665 basehttp "GET /trash/ HTTP/1.1" 200 9750
DEBUG 2024-07-23 22:20:47,166 views handle_trash_actions called
DEBUG 2024-07-23 22:20:47,167 views Action received: delete
DEBUG 2024-07-23 22:20:47,167 views Message IDs received: ['126']
DEBUG 2024-07-23 22:20:47,167 views Deleting messages
DEBUG 2024-07-23 22:20:47,251 views Marking message 126 as deleted by receiver
DEBUG 2024-07-23 22:20:47,251 views Saving message 126 state changes
INFO 2024-07-23 22:20:47,270 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:20:47,774 basehttp "GET /trash/ HTTP/1.1" 200 9443
DEBUG 2024-07-23 22:20:53,242 views handle_trash_actions called
DEBUG 2024-07-23 22:20:53,243 views Action received: restore
DEBUG 2024-07-23 22:20:53,243 views Message IDs received: ['121']
DEBUG 2024-07-23 22:20:53,243 views Restoring messages
DEBUG 2024-07-23 22:20:53,299 views Marking message 121 as not trashed by receiver
DEBUG 2024-07-23 22:20:53,301 views Saving message 121 state changes
INFO 2024-07-23 22:20:53,319 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:20:53,756 basehttp "GET /trash/ HTTP/1.1" 200 9129
DEBUG 2024-07-23 22:21:01,683 views handle_trash_actions called
DEBUG 2024-07-23 22:21:01,684 views Action received: restore
DEBUG 2024-07-23 22:21:01,686 views Message IDs received: ['120']
DEBUG 2024-07-23 22:21:01,687 views Restoring messages
DEBUG 2024-07-23 22:21:01,742 views Marking message 120 as not trashed by receiver
DEBUG 2024-07-23 22:21:01,742 views Saving message 120 state changes
INFO 2024-07-23 22:21:01,760 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:21:02,213 basehttp "GET /trash/ HTTP/1.1" 200 8813
DEBUG 2024-07-23 22:21:07,807 views handle_trash_actions called
DEBUG 2024-07-23 22:21:07,807 views Action received: restore
DEBUG 2024-07-23 22:21:07,808 views Message IDs received: ['103']
DEBUG 2024-07-23 22:21:07,808 views Restoring messages
DEBUG 2024-07-23 22:21:07,860 views Marking message 103 as not trashed by receiver
DEBUG 2024-07-23 22:21:07,861 views Saving message 103 state changes
INFO 2024-07-23 22:21:07,880 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:21:08,313 basehttp "GET /trash/ HTTP/1.1" 200 8645
INFO 2024-07-23 22:21:16,731 basehttp "GET /inbox/ HTTP/1.1" 200 8908
INFO 2024-07-23 22:21:22,039 basehttp "POST /bulk_trash_messages/ HTTP/1.1" 302 0
INFO 2024-07-23 22:21:22,540 basehttp "GET /inbox/ HTTP/1.1" 200 8558
INFO 2024-07-23 22:21:25,834 basehttp "POST /bulk_trash_messages/ HTTP/1.1" 302 0
INFO 2024-07-23 22:21:26,573 basehttp "GET /inbox/ HTTP/1.1" 200 8209
INFO 2024-07-23 22:21:28,636 basehttp "POST /bulk_trash_messages/ HTTP/1.1" 302 0
INFO 2024-07-23 22:21:29,109 basehttp "GET /inbox/ HTTP/1.1" 200 7853
INFO 2024-07-23 22:21:30,555 basehttp "GET /trash/ HTTP/1.1" 200 9574
DEBUG 2024-07-23 22:21:40,274 views handle_trash_actions called
DEBUG 2024-07-23 22:21:40,275 views Action received: restore
DEBUG 2024-07-23 22:21:40,275 views Message IDs received: ['128', '127', '121', '89']
DEBUG 2024-07-23 22:21:40,276 views Restoring messages
DEBUG 2024-07-23 22:21:40,326 views Marking message 121 as not trashed by receiver
DEBUG 2024-07-23 22:21:40,326 views Saving message 121 state changes
DEBUG 2024-07-23 22:21:40,359 views Marking message 89 as not trashed by sender
DEBUG 2024-07-23 22:21:40,375 views Saving message 89 state changes
DEBUG 2024-07-23 22:21:40,426 views Marking message 128 as not trashed by receiver
DEBUG 2024-07-23 22:21:40,427 views Saving message 128 state changes
DEBUG 2024-07-23 22:21:40,476 views Marking message 127 as not trashed by receiver
DEBUG 2024-07-23 22:21:40,476 views Saving message 127 state changes
INFO 2024-07-23 22:21:40,496 basehttp "POST /handle_trash_actions/ HTTP/1.1" 302 0
INFO 2024-07-23 22:21:40,884 basehttp "GET /trash/ HTTP/1.1" 200 8339
INFO 2024-07-23 22:21:47,164 basehttp "GET /inbox/ HTTP/1.1" 200 8908
INFO 2024-07-23 22:21:52,461 basehttp "GET /inbox/ HTTP/1.1" 200 8908
INFO 2024-07-23 22:21:55,605 basehttp "GET /inbox/ HTTP/1.1" 200 8908
INFO 2024-07-23 22:22:02,503 basehttp "POST /bulk_trash_messages/ HTTP/1.1" 302 0
